gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3698885291	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4865	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens		SPECIES	Bombus impatiens Cresson, 1863	Bombus impatiens		US	Long Point Rd scrub + field	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.254003	-73.27429	250.0						2019-08-25T18:23:00	25	8	2019	1340350	1340350	PRESERVED_SPECIMEN	VCE		19-4865		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Jim Bahrenburg			2023-03-07T15:13:00.328Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885298	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4862	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens		SPECIES	Bombus impatiens Cresson, 1863	Bombus impatiens		US	Long Point Rd scrub + field	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.254003	-73.27429	250.0						2019-08-25T18:23:00	25	8	2019	1340350	1340350	PRESERVED_SPECIMEN	VCE		19-4862		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Jim Bahrenburg			2023-03-07T15:13:00.328Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885295	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4863	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens		SPECIES	Bombus impatiens Cresson, 1863	Bombus impatiens		US	Long Point Rd scrub + field	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.254003	-73.27429	250.0						2019-08-25T18:23:00	25	8	2019	1340350	1340350	PRESERVED_SPECIMEN	VCE		19-4863		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Jim Bahrenburg			2023-03-07T15:13:00.327Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885294	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4866	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens		SPECIES	Bombus impatiens Cresson, 1863	Bombus impatiens		US	Long Point Rd scrub + field	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.254003	-73.27429	250.0						2019-08-25T18:23:00	25	8	2019	1340350	1340350	PRESERVED_SPECIMEN	VCE		19-4866		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Jim Bahrenburg			2023-03-07T15:13:00.366Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885301	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4867	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens		SPECIES	Bombus impatiens Cresson, 1863	Bombus impatiens		US	Long Point Rd scrub + field	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.254003	-73.27429	250.0						2019-08-25T18:23:00	25	8	2019	1340350	1340350	PRESERVED_SPECIMEN	VCE		19-4867		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Jim Bahrenburg			2023-03-07T15:13:00.366Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885342	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-2218	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terricola		SPECIES	Bombus terricola Kirby, 1837	Bombus terricola		US	MANS Skipatrol	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.5237	-72.807849	250.0						2019-07-19T12:53:00	19	7	2019	1340493	1340493	PRESERVED_SPECIMEN	VCE		19-2218		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Spencer P. Hardy			2023-03-07T15:13:00.403Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885345	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-2219	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus ternarius		SPECIES	Bombus ternarius Say, 1837	Bombus ternarius		US	MANS Skipatrol	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.5237	-72.807849	250.0						2019-07-19T12:53:00	19	7	2019	1340516	1340516	PRESERVED_SPECIMEN	VCE		19-2219		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Spencer P. Hardy			2023-03-07T15:13:00.403Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885398	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4857	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens		SPECIES	Bombus impatiens Cresson, 1863	Bombus impatiens		US	Long Point Rd scrub + field	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.254003	-73.27429	250.0						2019-08-25T18:23:00	25	8	2019	1340350	1340350	PRESERVED_SPECIMEN	VCE		19-4857		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Jim Bahrenburg			2023-03-07T15:13:00.417Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885393	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4858	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens		SPECIES	Bombus impatiens Cresson, 1863	Bombus impatiens		US	Long Point Rd scrub + field	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.254003	-73.27429	250.0						2019-08-25T18:23:00	25	8	2019	1340350	1340350	PRESERVED_SPECIMEN	VCE		19-4858		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Jim Bahrenburg			2023-03-07T15:13:00.417Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
3698885396	6832470a-d8a2-4416-a302-7807295111c1	VCE:VAL:Bees:VTBEES:19-4855	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens		SPECIES	Bombus impatiens Cresson, 1863	Bombus impatiens		US	Long Point Rd scrub + field	Vermont	PRESENT	1	b6d09100-919d-4026-b35b-22be3dae7156	44.254003	-73.27429	250.0						2019-08-25T18:23:00	25	8	2019	1340350	1340350	PRESERVED_SPECIMEN	VCE		19-4855		Spencer Hardy	2019-01-01T00:00:00	CC_BY_4_0		Jim Bahrenburg			2023-03-07T15:13:00.417Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE
