,scientific_name,depth,n_native,n_pres,n_vagabond,n_class,n_order,n_family,n_genus,max_temp,elevation,min_temp,mean_temp,prec_sum_mean,class,order,iucn_status
0,Morlina glabra,,23.0,0.0,0.0,1213.0,399.0,18.0,1.0,27.47,913.92,-16.59,6.66,4.07,Gastropoda,Stylommatophora,LC
0,Partula garrettii,,0.0,0.0,0.0,1213.0,399.0,2.0,2.0,27.2,,20.3,24.19,4.62,Gastropoda,Stylommatophora,EW
0,Boucardicus divei,,1.0,0.0,0.0,1213.0,63.0,1.0,1.0,31.4,,11.4,20.82,3.7,Gastropoda,Architaenioglossa,EN
0,Vertigo geyeri,,18.0,0.0,0.0,1213.0,399.0,10.0,9.0,26.05,978.62,-18.82,5.32,2.59,Gastropoda,Stylommatophora,LR/cd
0,Tylomelania amphiderita,,1.0,0.0,0.0,1213.0,399.0,1.0,2.0,30.9,,19.4,24.28,9.87,Gastropoda,,EN
0,Acroloxus coloradensis,,2.0,0.0,0.0,1213.0,399.0,17.0,16.0,28.44,,-33.28,2.34,2.07,Gastropoda,,NT
0,Xerosecta introducta,,2.0,0.0,0.0,1213.0,399.0,26.0,3.0,27.39,884.6,-14.16,9.38,2.95,Gastropoda,Stylommatophora,LC
0,Achatinella pupukanioe,,1.0,0.0,0.0,1213.0,399.0,11.0,7.0,28.0,610.0,15.2,21.67,1.15,Gastropoda,Stylommatophora,CR
0,Kobeltocochlea martensiana,19.0,1.0,0.0,0.0,1213.0,88.0,5.0,1.0,,,,,,Gastropoda,Littorinimorpha,LC
0,Napaeus obesatus,,1.0,0.0,0.0,1213.0,399.0,9.0,1.0,31.5,,11.6,19.13,0.26,Gastropoda,Stylommatophora,LC
0,Cleopatra obscura,,1.0,0.0,0.0,1213.0,399.0,9.0,1.0,33.4,,8.8,20.93,3.71,Gastropoda,,VU
0,Partula auraniana,,1.0,0.0,0.0,1213.0,399.0,2.0,2.0,28.9,,24.1,26.45,6.95,Gastropoda,Stylommatophora,EN
0,Leptaxis nivosa,,1.0,0.0,0.0,1213.0,399.0,36.0,393.0,23.5,,14.4,19.1,0.54,Gastropoda,Stylommatophora,LC
0,Deroceras klemmi,,3.0,1.0,0.0,1213.0,399.0,9.0,9.0,29.6,305.0,-10.3,9.29,3.0,Gastropoda,Stylommatophora,LC
0,Haliotis virginea,188.75,1.0,0.0,0.0,1213.0,65.0,38.0,38.0,24.26,,2.07,12.38,2.5,Gastropoda,Lepetellida,LC
0,Helicella valdeona,,1.0,0.0,0.0,1213.0,399.0,26.0,4.0,,,,,,Gastropoda,Stylommatophora,VU
0,Protolira valvatoides,1657.75,1.0,0.0,0.0,1213.0,13.0,8.0,1.0,25.46,,12.02,19.43,2.14,Gastropoda,Trochida,LC
0,Corneola squamatina,,3.0,0.0,0.0,1213.0,399.0,50.0,4.0,29.92,991.0,-10.01,10.28,3.06,Gastropoda,Stylommatophora,LC
0,Beddomeia camensis,,1.0,0.0,0.0,1213.0,88.0,6.0,1.0,28.3,,-1.75,9.86,3.06,Gastropoda,Littorinimorpha,VU
0,Spirorbula latens,,1.0,0.0,0.0,1213.0,399.0,26.0,2.0,,,,,,Gastropoda,Stylommatophora,LC
0,Xerosecta promissa,,2.0,0.0,0.0,1213.0,399.0,26.0,3.0,34.2,550.0,2.1,16.72,1.41,Gastropoda,Stylommatophora,LC
0,Oxychilus miceui,,1.0,0.0,0.0,1213.0,399.0,18.0,13.0,18.9,,3.2,11.47,3.32,Gastropoda,Stylommatophora,NT
0,Agardhiella lamellata,,1.0,0.0,0.0,1213.0,399.0,9.0,3.0,,,,,,Gastropoda,Stylommatophora,LC
0,Chondrula tricuspidata,,3.0,0.0,0.0,1213.0,399.0,9.0,1.0,33.8,,0.4,16.51,1.93,Gastropoda,Stylommatophora,LC
0,Haliotis roei,4.5,1.0,0.0,0.0,1213.0,65.0,38.0,38.0,35.59,,6.86,17.53,1.44,Gastropoda,Lepetellida,NT
0,Bythinella pannonica,,2.0,0.0,0.0,1213.0,88.0,9.0,9.0,29.07,,-14.6,8.26,2.09,Gastropoda,Littorinimorpha,LC
0,Albinaria hippolyti,,1.0,0.0,0.0,1213.0,399.0,39.0,2.0,36.5,,5.7,18.46,0.87,Gastropoda,Stylommatophora,LC
0,Albinaria jonica,,1.0,0.0,0.0,1213.0,399.0,39.0,2.0,,,,,,Gastropoda,Stylommatophora,LC
0,Victodrobia victoriensis,,1.0,0.0,0.0,1213.0,88.0,6.0,13.0,36.48,,0.55,12.24,2.03,Gastropoda,Littorinimorpha,LR/nt
0,Zyzzyxdonta alata,,1.0,0.0,0.0,1213.0,399.0,1.0,1.0,,30.0,,,,Gastropoda,Stylommatophora,VU
0,Newcombia lirata,,1.0,0.0,0.0,1213.0,399.0,11.0,5.0,,,,,,Gastropoda,Stylommatophora,EN
0,Arion flagellus,,1.0,3.0,0.0,1213.0,399.0,17.0,16.0,29.04,,-6.64,9.96,2.58,Gastropoda,Stylommatophora,LC
0,Boettgeria obesiuscula,,1.0,0.0,0.0,1213.0,399.0,39.0,1.0,,,,,,Gastropoda,Stylommatophora,CR
0,Protolinitis pusilla,,1.0,0.0,0.0,1213.0,399.0,15.0,1.0,33.52,102.5,9.5,20.99,4.54,Gastropoda,Stylommatophora,LR/nt
0,Amplirhagada kalumburuana,,1.0,0.0,0.0,1213.0,399.0,15.0,1.0,40.04,,11.69,26.61,2.99,Gastropoda,Stylommatophora,LC
0,Urticicola glabellus,,2.0,0.0,0.0,1213.0,399.0,36.0,2.0,26.54,,-12.26,8.06,2.72,Gastropoda,Stylommatophora,LC
0,Illex argentinus,92.67,4.0,0.0,0.0,366.0,138.0,22.0,4.0,23.9,,5.22,14.49,2.24,Cephalopoda,Oegopsida,LC
0,Isabellaria perplana,,1.0,0.0,0.0,1213.0,399.0,39.0,4.0,42.3,,-1.1,16.58,1.5,Gastropoda,Stylommatophora,LC
0,Liburnica kleciachi,,2.0,0.0,0.0,1213.0,399.0,50.0,2.0,36.0,440.0,-10.3,12.91,3.05,Gastropoda,Stylommatophora,LC
0,Floridobia ponderosa,,1.0,0.0,0.0,1213.0,88.0,25.0,4.0,36.7,,-4.9,20.52,2.52,Gastropoda,Littorinimorpha,VU
0,Albinaria cretensis,,1.0,0.0,0.0,1213.0,399.0,39.0,2.0,31.9,,-3.5,12.19,1.14,Gastropoda,Stylommatophora,LC
